customer_id,age,gender,income_bracket,education,location_type,region,customer_tenure_months,total_purchases,total_spent,avg_order_value,last_purchase_days_ago,preferred_channel,loyalty_tier,campaign_type,campaign_category,discount_offered,campaign_day_of_week,campaign_hour,personalization_level,email_open_rate,click_through_rate,previous_campaign_responses,unsubscribe_count,complaint_count,product_category,price_sensitivity,brand_loyalty_score,tech_adoption,days_since_last_campaign,responded
CUST_00000001,45,Female,$30k-$60k,High School,Suburban,West,180,13,2645.83,188.99,140,Phone,Silver,Email,Discount,15,Wednesday,Afternoon,Basic,67,,4,1,0,Home,Low,6,Late Adopter,14,No
CUST_00000002,25,Female,$100k+,Bachelor,Suburban,Southwest,8,19,1105.91,,1,Email,Silver,Email,Seasonal,0,Wednesday,Evening,Advanced,38.3,13.8,1,0,0,Fashion,Medium,6,Early Adopter,7,No
CUST_00000003,51,Male,$60k-$100k,Bachelor,Suburban,West,1,8,7454.98,828.33,200,Email,Silver,Social Media,Seasonal,15,Wednesday,Morning,Advanced,20.6,8.2,8,0,0,Fashion,Medium,5,Mainstream,1,No
CUST_00000004,28,Male,$100k+,Graduate,Suburban,Midwest,108,7,2408.26,301.03,8,SMS,Bronze,SMS,Seasonal,25,Friday,Evening,None,,12.1,2,0,0,Sports,Low,6,Early Adopter,3,No
CUST_00000005,39,Female,$30k-$60k,Bachelor,Suburban,West,24,13,3952.23,282.3,23,SMS,Platinum,Email,Discount,0,Friday,Morning,None,47.4,10.5,2,0,0,Beauty,Medium,6,Late Adopter,14,No
CUST_00000006,36,Female,<$30k,Bachelor,Suburban,Southwest,23,9,9366.64,936.66,1,SMS,Gold,Direct Mail,Discount,0,Monday,Afternoon,Basic,27.6,3.2,0,0,0,Beauty,Medium,8,Late Adopter,11,Yes
CUST_00000007,47,Female,$100k+,High School,Rural,Midwest,1,10,622.47,56.59,16,Email,Bronze,Email,Discount,15,Monday,Evening,Basic,34.6,11.5,3,1,0,Beauty,Medium,8,Late Adopter,4,Yes
CUST_00000008,46,Male,$100k+,Graduate,Urban,Northeast,1,11,8371.79,697.65,10,Phone,Silver,SMS,Loyalty Reward,0,Weekend,Evening,Basic,11.5,2.5,5,0,0,Fashion,Low,5,Mainstream,48,Yes
CUST_00000009,36,Female,$30k-$60k,High School,Suburban,Midwest,37,9,370.25,37.02,51,Email,Bronze,Social Media,New Product,0,Friday,Afternoon,Advanced,16.1,5.4,3,0,0,Sports,High,8,Late Adopter,36,No
CUST_00000010,51,Male,<$30k,Graduate,Suburban,Midwest,62,11,8033.7,669.48,2,Email,Bronze,Email,Discount,15,Weekend,Afternoon,Advanced,18.6,6.9,4,0,0,Home,Low,3,Mainstream,11,Yes
CUST_00000011,48,Female,$100k+,Bachelor,Suburban,Midwest,38,8,5057.79,561.98,33,Email,Silver,Direct Mail,Seasonal,25,Wednesday,Afternoon,Basic,37.4,12.5,2,0,0,Fashion,Medium,6,Mainstream,57,No
CUST_00000012,64,Female,$30k-$60k,Bachelor,Urban,Southwest,20,17,565.14,31.4,180,Email,Bronze,Email,Seasonal,0,Friday,Evening,Advanced,30.5,3.6,2,0,0,Home,Medium,7,Late Adopter,45,Yes
CUST_00000013,40,Male,$30k-$60k,Bachelor,Suburban,Northeast,17,11,2454.46,204.54,63,Email,Gold,Social Media,New Product,0,Monday,Night,Basic,29,11.6,4,0,0,Home,Medium,5,Mainstream,22,No
CUST_00000014,33,Female,$100k+,High School,Rural,Southeast,1,10,127.86,11.62,22,Email,Silver,SMS,Discount,10,Tuesday,Morning,Advanced,27.4,7.4,5,0,1,Fashion,Low,2,Mainstream,61,Yes
CUST_00000015,49,Female,$30k-$60k,High School,Rural,Southwest,43,12,9472.2,728.63,87,Email,Platinum,Email,Discount,30,Friday,Afternoon,Basic,12.2,3.8,3,0,0,Fashion,Medium,7,Mainstream,32,Yes
CUST_00000016,37,Female,$100k+,Bachelor,Suburban,West,12,7,4497.6,562.2,55,Email,Silver,Direct Mail,Discount,15,Weekend,Afternoon,Basic,25.9,8.5,4,0,0,Fashion,Medium,6,Mainstream,14,No
CUST_00000017,35,Female,$30k-$60k,High School,Urban,Midwest,48,15,2465.2,154.07,18,Mail,Silver,SMS,New Product,15,Thursday,Evening,Basic,10,1.7,2,0,0,Beauty,Low,6,Mainstream,16,No
CUST_00000018,59,Female,$30k-$60k,High School,Urban,Southwest,5,14,2832.99,188.87,26,Email,Silver,Email,Loyalty Reward,20,Wednesday,Morning,None,22.4,7.1,2,0,1,Food,High,7,Late Adopter,16,No
CUST_00000019,58,Female,$60k-$100k,High School,Suburban,West,65,8,105.36,11.71,41,Phone,Gold,Direct Mail,Discount,20,Thursday,Afternoon,None,14.8,5.6,1,1,0,Home,Medium,4,Mainstream,23,No
CUST_00000020,53,Female,<$30k,Graduate,Suburban,Northeast,8,7,3230.88,403.86,79,Mail,Gold,SMS,New Product,10,Monday,Morning,Advanced,51.3,11.2,4,0,0,Home,Low,6,Late Adopter,15,Yes
CUST_00000021,37,Female,$60k-$100k,Bachelor,Suburban,Midwest,11,8,3217.53,357.5,33,Email,Platinum,Phone,Seasonal,0,Tuesday,Night,Advanced,40.9,8.4,1,0,0,Fashion,Medium,4,Late Adopter,17,Yes
CUST_00000022,68,Female,$60k-$100k,High School,Urban,West,1,9,3802.32,380.23,245,Email,Gold,Social Media,Discount,10,Friday,Morning,Advanced,32.6,11.9,4,1,0,Sports,Medium,7,Mainstream,1,No
CUST_00000023,49,Male,$60k-$100k,Bachelor,Rural,Northeast,7,9,2657.46,265.75,1,Email,Silver,Email,Seasonal,25,Tuesday,Afternoon,None,49.9,11.3,6,0,0,Fashion,High,5,Mainstream,46,Yes
CUST_00000024,27,Male,$30k-$60k,High School,Urban,Midwest,52,7,1677.3,209.66,12,SMS,Silver,Social Media,Loyalty Reward,10,Monday,Evening,Basic,44.9,5.5,4,0,0,Electronics,Medium,6,Early Adopter,48,Yes
CUST_00000025,48,Male,$30k-$60k,Bachelor,Rural,West,90,11,2339.88,194.99,111,Email,Gold,Email,Seasonal,15,Wednesday,Night,Basic,30.1,,2,0,0,Fashion,Medium,9,Mainstream,45,Yes
CUST_00000026,54,Female,$60k-$100k,Bachelor,Urban,Midwest,1,11,10337.48,861.46,27,Email,Silver,Email,Discount,15,Tuesday,Evening,Basic,40.8,15.6,2,0,0,Beauty,High,7,Late Adopter,23,No
CUST_00000027,51,Male,$60k-$100k,Bachelor,Urban,Midwest,39,19,4663.95,,16,Mail,Bronze,Email,Referral,15,Tuesday,Morning,Basic,,12.6,0,0,0,Sports,High,8,Early Adopter,34,No
CUST_00000028,34,Female,$60k-$100k,Bachelor,Rural,Southeast,29,12,826.34,63.56,50,SMS,Silver,SMS,Discount,0,Tuesday,Morning,Basic,45.9,9.1,4,1,0,Electronics,Low,6,Mainstream,44,Yes
CUST_00000029,44,Female,$100k+,Bachelor,Suburban,Southeast,34,11,4903.63,,37,Email,Silver,Email,Discount,0,Thursday,Afternoon,Basic,56.4,12.9,5,0,1,Fashion,Medium,5,Mainstream,136,No
CUST_00000030,66,Female,$30k-$60k,High School,Suburban,West,36,16,3779.48,222.32,23,SMS,Silver,Direct Mail,Discount,25,Weekend,Afternoon,None,27.5,10.1,4,0,0,Home,High,5,Early Adopter,36,Yes
CUST_00000031,42,Female,$30k-$60k,Graduate,Urban,Southeast,16,7,5422.5,677.81,23,SMS,Gold,SMS,Loyalty Reward,15,Wednesday,Afternoon,Basic,38.6,,1,0,0,Sports,Low,7,Mainstream,7,No
CUST_00000032,43,Male,<$30k,High School,Urban,West,34,12,740.4,,18,Phone,Gold,Email,Discount,15,Monday,Night,Basic,61.5,23,7,1,0,Electronics,Low,6,Late Adopter,180,Yes
CUST_00000033,50,Female,$100k+,High School,Suburban,West,26,8,2738.23,304.25,3,SMS,Silver,SMS,Seasonal,15,Monday,Morning,Advanced,,21.7,3,0,0,Fashion,Low,4,Mainstream,6,Yes
CUST_00000034,39,Male,$60k-$100k,High School,Urban,Midwest,35,20,3451.97,164.38,40,Email,Bronze,Email,Discount,0,Monday,Afternoon,Advanced,42.5,5.9,5,0,0,Electronics,High,6,Early Adopter,38,Yes
CUST_00000035,53,Male,$30k-$60k,Bachelor,Suburban,Northeast,59,12,1382.77,106.37,41,Email,Silver,Email,Seasonal,10,Wednesday,Morning,None,53.2,,2,0,0,Home,Medium,6,Late Adopter,36,Yes
CUST_00000036,46,Female,$30k-$60k,Bachelor,Suburban,Southeast,22,13,1820.73,130.05,53,Phone,Silver,SMS,Discount,25,Wednesday,Evening,Basic,72.7,24.7,3,0,0,Electronics,Medium,6,Mainstream,7,Yes
CUST_00000037,64,Male,$60k-$100k,High School,Rural,Northeast,4,6,2538.89,362.7,63,Email,Bronze,SMS,Discount,10,Monday,Afternoon,Basic,32.3,6.7,2,1,0,Sports,Medium,2,Mainstream,24,No
CUST_00000038,57,Female,<$30k,High School,Suburban,Southeast,33,4,2944.36,,15,Email,Bronze,Email,Discount,30,Tuesday,Morning,Advanced,,9.9,5,0,0,Electronics,Medium,3,Mainstream,54,Yes
